cell_id,centroid_lat,centroid_lon,pop_density_norm,working_pop_density,func_mixture_degree,recreational_density,catering_density,commercial_density,public_service_density,open_space_density,business_office_density,floor_area_proxy,trunk_road_density,secondary_road_density,intersection_density,vendor_density
115,-6.939249999999999,107.56574999999997,0.45237821360786795,0.9692323013326926,0.4591479170272448,0.0,0.0,0.23961179523712922,0.2242438242175754,0.0,0.0,0.6406432091658321,0.25117420548475844,0.3066675513631644,0.7734962022714278,28.6
116,-6.9347499999999975,107.56574999999997,0.45237821360786795,0.9332682765938564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8178951899542798,0.24651305901463424,0.29112926704728026,0.42279501184020335,20.2
117,-6.930249999999997,107.56574999999997,0.45237821360786795,0.9187684001959965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7644121482818413,0.2186140603758113,0.33463799235024133,0.5772049881597967,21.9
118,-6.925749999999998,107.56574999999997,0.45237821360786795,1.0,0.4056390622295664,0.0,0.0,0.0,0.5206780355557714,0.0,0.0,0.8549417202185012,0.37496137160254295,0.4410183641010811,0.6299206402569856,25.0
119,-6.921249999999997,107.56574999999997,0.45237821360786795,0.9337832582930362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8392911596134695,0.18245528606490535,0.6475114688430289,0.7113975059201018,23.0
120,-6.916749999999997,107.56574999999997,0.45237821360786795,0.9428915272893572,0.0,0.0,0.0,0.0,0.0,0.20801459767650946,0.0,0.8474368519524745,0.15109673059183898,0.18244390826702406,0.18208790046993825,20.5
121,-6.912249999999998,107.56574999999997,0.45237821360786795,0.9624045324691491,0.5,0.0,0.0,0.0,0.35541805240316376,0.0,0.0,0.8182930029517304,0.0,0.07026366299938366,0.42279501184020335,4.0
122,-6.9077499999999965,107.56574999999997,0.45237821360786795,0.8900806986003349,0.16959745618087993,0.0,0.16794877895704194,0.0,0.2242438242175754,0.6240437930295284,0.21274605355336315,0.6314395823031757,0.14548707099150698,0.3325502724415067,0.28860249407989835,3.6
123,-6.9032499999999954,107.56574999999997,0.6360211652383965,0.9602958725855686,0.20806222240005767,0.0,0.0,0.15117821092177644,0.2242438242175754,0.48299493849177877,0.21274605355336315,0.7411289606440009,0.031537185984100644,0.41582148012510556,0.6048829123101417,4.7
124,-6.898749999999996,107.56574999999997,0.6360211652383965,0.972000346796578,0.0,0.0,0.0,0.0,0.0,0.3296953369198657,0.0,0.8051198798241979,0.0,0.28940725199886486,0.4706903945498366,5.1
125,-6.894249999999996,107.56574999999997,0.6360211652383965,0.9217642283090264,0.0,0.0,0.0,0.0,0.0,0.3296953369198657,0.0,0.9117492493835782,0.0,0.3782937765440209,0.5462637014098147,6.9
